Deschampsia elongata	ARG(CHU, NEU, TDF) / CHL(COQ, ARA, AIS, MAG, RME)
Deschampsia kingii	ARG(SCR, TDF) / CHL(ARA, AIS, MAG)
Deschampsia laxa	ARG(CHU) / CHL(LLA, AIS, MAG)
Deschampsia looseriana var. looseriana	CHL(COQ, VAL, LBO, MAU, BIO, ARA, RME)
Deschampsia looseriana var. triandra	CHL(RME)
Deschampsia mendocina	ARG(MEN)
Deschampsia micrantha	CHL(COQ)
Deschampsia monandra	CHL(COQ, LBO, RME)
Deschampsia parvula	ARG(SCR, TDF) / CHL(AIS, MAG)
Deschampsia patula	ARG(CHU, SCR, TDF) / CHL(MAG, RME)
Deschampsia setacea	CHL(COQ, RME)
Deschampsia venustula	ARG(MEN, NEU) / CHL(MAU, MAG, RME)
Descurainia antarctica	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(MAG)
Descurainia depressa	ARG(CAT, JUJ, LRI, MEN, SAL, SJU, TUC) / CHL(TAR, ANT)
Descurainia erodiifolia	ARG(BAI, CAT, CHA, CHU, COR, ERI, LPA, LRI, MEN, MIS, NEU, RNE, SAL, SJU, SLU, SFE, SDE, TUC) / CHL(VAL, MAU, RME) / URY(SAO)
Descurainia myriophylla	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(TAR, ANT)
Descurainia nuttallii	ARG(CHU, JUJ, MEN, NEU, RNE, SJU, SCR) / CHL(ANT, ATA, COQ, VAL, MAU, LLA, MAG, RME)
Descurainia pimpinellifolia	ARG(CHU, JUJ, LRI, MEN, NEU, RNE, SJU, SCR, TUC) / CHL(ATA, COQ, VAL, RME)
Descurainia pinnata	ARG(MEN, NEU, RNE)
Descurainia sophia	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(MAG, RME)
Descurainia stricta	ARG(CAT, JUJ, LRI, SAL, SJU, TUC) / CHL(TAR, ANT, ATA, COQ)
Desfontainia fulgens	ARG(NEU, RNE, SCR, TDF) / CHL(MAU, BIO, ARA, LLA, AIS, MAG)
Desmanthus acuminatus	ARG(BAI, COR, COS, ERI, FOR, JUJ, LPA, SAL, SDE, SFE) / PRY(MIE) / URY(ART, CAS, CLA, COL, DUR, FLA, MAL, MON, PAY, RNO, RIV, ROC, SAO, SOR, TYT)
Desmanthus hexapetalus	ARG(MIS) / PRY(CAU)
Desmanthus paspalaceus	ARG(CHA, COS, ERI, FOR, JUJ, MIS, SAL, SDE, SFE, TUC) / BRA(RGS, SCA) / PRY(AMA, CAN, CEN, COA, GUA, PAI, PHA, SPE) / URY(COL, FLA)
Desmanthus pernambucanus	BRA(Fuera del área del proyecto) / URY(MON)
Desmanthus tatuhyensis var. tatuhyensis	ARG(BAI, COS, ERI, MIS) / BRA(PAR, RGS, SCA) / PRY(COA, MIE, PAI) / URY(LAV, MAL, MON, RIV, SJO)
Desmanthus tatuhyensis var. brevipes	ARG(CHA, COR, COS, FOR, JUJ, SDE, SFE, TUC) / PRY(PHA)
Desmanthus virgatus	ARG(BAI, CHA, COR, COS, ERI, FOR, JUJ, LPA, MIS, SAL, SFE, SDE, TUC) / BRA(RGS, SCA) / CHL(TAR) / PRY(APY, BOQ, CHO, GUA, ÑEE, SPE) / URY(ART, CAS, CLA, DUR, FLA, LAV, MAL, MON, PAY, RNO, RIV, ROC, SAO, SJO, SOR, TAC, TYT)
Desmaria mutabilis	CHL(MAU, BIO, ARA, LLA)
Desmodium adscendens	ARG(MIS) / BRA(PAR, RGS, SCA)
Desmodium affine	ARG(BAI, CAT, CHA, COS, ERI, FOR, JUJ, MIS, SAL, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APA, AMA, CEN, GUA, PAI) / URY(ART, CAS, PAY, RIV, TAC, TYT)
Desmodium album	ARG(FOR) / BRA(PAR, SCA) / PRY(SPE)
Desmodium arechavaletae	ARG(COS, MIS) / BRA(PAR, RGS) / PRY(APA, APY, AMA, GUA, SPE) / URY(CLA, PAY, RIV, TAC)
Desmodium barbatum	ARG(CHA, COS, MIS) / BRA(PAR, RGS, SCA) / PRY(CAA, CAN, CEN, COA, GUA, ITA)
Desmodium bridgesii	ARG(JUJ, SAL)
Desmodium burkartii	ARG(COS)
Desmodium cajanifolium	BRA(PAR)
Desmodium craspediferum	BRA(PAR, RGS)
Desmodium cuneatum	ARG(CHA, COR, COS, ERI, FOR, JUJ, MIS, SDE, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APY, CEN, GUA, MIE, ÑEE, PAI, PHA) / URY(MON, PAY, SAO)
Desmodium distortum	ARG(FOR) / BRA(Fuera del área del proyecto) / PRY(CAN, CEN)
Desmodium glabrum	ARG(JUJ, SAL) / BRA(Fuera del área del proyecto) / PRY(APY)
Desmodium guaraniticum	BRA(PAR) / PRY(CAN)
Desmodium hassleri	ARG(COS, MIS) / BRA(PAR, RGS) / PRY(AMA, CAN, MIE, PAI, SPE)
