Lathyrus ibicuiensis	BRA(RGS)
Lathyrus japonicus var. japonicus	CHL(BIO, ARA, LLA)
Lathyrus japonicus var. aleuticus	CHL(AIS)
Lathyrus latifolius	ARG(BAI, CAT, LPA, MEN, NEU, RNE) / URY(FLA, MON)
Lathyrus linearifolius	ARG(COS) / BRA(PAR, RGS, SCA)
Lathyrus lomanus	CHL(ANT)
Lathyrus macropus	ARG(CAT, MEN, SAL, SJU, SLU) / CHL(VAL, ARA, RME)
Lathyrus macrostachys	ARG(CHA, COS, FOR, JUJ, MIS, SFE) / BRA(RGS) / PRY(PHA) / URY(CLA, FLA, MAL, RNO, SJO, TAC)
Lathyrus magellanicus var. magellanicus	ARG(CHU, LPA, NEU, RNE, SCR, TDF) / CHL(VAL, LBO, MAG)
Lathyrus magellanicus var. longipes	ARG(NEU) / CHL(LBO, RME)
Lathyrus magellanicus var. gladiatus	ARG(CHU, MEN, NEU, RNE) / CHL(ARA)
Lathyrus magellanicus var. glaucescens	ARG(CHU, NEU, RNE, SCR, TDF) / CHL(AIS)
Lathyrus magellanicus var. tucumanensis	ARG(CAT, JUJ, SAL, TUC) / CHL(LLA) / URY(CAS, CLA, SJO)
Lathyrus multiceps	ARG(NEU, RNE, SLU) / CHL(VAL, LBO, MAU, BIO, ARA, RME)
Lathyrus nervosus	ARG(BAI, CHU, LPA, MIS, RNE, SAL, SCR) / BRA(PAR, RGS, SCA) / CHL(ARA, AIS, MAG) / URY(CAS, CLA, LAV, MAL, MON, RIV, ROC, SJO, TYT)
Lathyrus nigrivalvis	ARG(CHA, COS, ERI, FOR, SFE) / PRY(PHA)
Lathyrus nitens	BRA(PAR, RGS, SCA) / URY(CLA, RNO, RIV, SAO, TAC)
Lathyrus paraguariensis	BRA(PAR, RGS, SCA) / PRY(APA)
Lathyrus paranensis	ARG(BAI, COS, ERI) / BRA(PAR, RGS, SCA) / URY(CAS, CLA, FLA, MAL, MON, PAY, RNO, RIV, ROC, SJO, SOR, TYT)
Lathyrus parodii var. parodii	ARG(BAI) / BRA(PAR, RGS) / URY(CLA, MON, RNO, RIV, SJO)
Lathyrus parodii var. brevipetiolata	ARG(BAI) / BRA(RGS)
Lathyrus pastorei	ARG(NEU, RNE)
Lathyrus pubescens var. pubescens	ARG(BAI, CAT, CHU, COR, COS, ERI, LPA, RNE, SAL, SCR, SLU, TUC) / BRA(RGS, SCA) / CHL(COQ, VAL, BIO, ARA, LLA, RME) / URY(ART, CAS, CLA, COL, FLA, LAV, MAL, MON, PAY, RNO, RIV, SJO, SOR, TAC)
Lathyrus pubescens var. monticola	ARG(SAL, TUC)
Lathyrus pusillus	ARG(BAI, CHA, CHU, COR, COS, ERI, LPA, MIS, NEU, RNE, SFE) / BRA(RGS, SCA) / CHL(LLA) / PRY(ITA) / URY(ART, CAS, CLA, COL, DUR, FLA, LAV, MAL, MON, RNO, RIV, SAO, SJO, SOR, TAC, TYT)
